dbn,tract,tract_lookup,tract_guess,boro
06M423,029100,029100,029100,Manhattan
10X445,040900,040900,040900,Bronx
08X269,008900,008900,008900,Bronx
06M293,028500,028500,028500,Manhattan
29Q265,033000,033000,033000,Queens
03M415,021800,021800,021800,Manhattan
25Q460,116100,116100,116100,Queens
08X405,019400,019400,019400,Bronx
20K609,023000,023000,023000,Brooklyn
18K629,093600,093600,093600,Brooklyn
12X682,015700,015700,015700,Bronx
25Q263,086300,086300,086300,Queens
17K537,079400,079400,079400,Brooklyn
01M696,001002,001002,001002,Manhattan
19K659,118000,118000,118000,Brooklyn
20K485,007000,007000,007000,Brooklyn
11X265,037200,037200,037200,Bronx
10X368,029302,030900,029302,Bronx
04M372,017000,017000,017000,Manhattan
10X440,040900,040900,040900,Bronx
07X522,006700,006700,006700,Bronx
13K350,001500,,001500,Brooklyn
06M348,026900,026900,026900,Manhattan
19K615,119600,119600,119600,Brooklyn
13K483,001100,,001100,Brooklyn
22K425,064200,064200,064200,Brooklyn
07X223,004300,004300,004300,Bronx
27Q475,012400,012400,012400,Queens
31R455,019800,019800,019800,Staten Island
14K586,050500,050500,050500,Brooklyn
10X268,040900,040900,040900,Bronx
17K524,021300,021300,021300,Brooklyn
17K408,079400,079400,079400,Brooklyn
07X334,004100,004100,004100,Bronx
08X432,001600,001600,001600,Bronx
09X297,013500,013500,013500,Bronx
15K592,003900,003900,003900,Brooklyn
12X511,015500,015500,015500,Bronx
08X282,000400,000400,000400,Bronx
02M300,013500,013500,013500,Manhattan
09X412,022500,022500,022500,Bronx
32K549,043500,043900,043500,Brooklyn
02M407,004800,004800,004800,Manhattan
21K344,035400,,035400,Brooklyn
